skuid,descr,datedue,dateordered,qtyprinted,qtyordered,priority,notes,imps,printstack
SW2,Stock,"2015-08-27 08:23:00","2015-08-27 00:00:00",200,200,1,,240,25
EIL-2,WTS,"2015-08-27 08:30:00","2015-08-27 00:00:00",85,85,1,,158,35
FIX-1,Stock,"2015-08-27 08:45:00","2015-08-27 00:00:00",100,100,1,,230,25
FIX-2,Stock,"2015-08-27 08:46:00","2015-08-27 00:00:00",100,100,1,,258,22
AFF-S,Stock,"2015-08-27 08:48:00","2015-08-27 00:00:00",200,200,4,,169,30
"AHW-S (old)","CC Order","2015-08-31 08:51:00","2015-08-27 00:00:00",500,500,3,,300,18
BH-S,Stock,"0000-00-00 00:00:00","2015-08-27 00:00:00",100,100,5,,224,18
"AHW-S (old)",Stock,"0000-00-00 00:00:00","2015-08-27 00:00:00",108,100,6,,300,18
LTL-T,Stock,"0000-00-00 00:00:00","2015-08-27 00:00:00",30,30,7,,97,30
PMB,Stock,"0000-00-00 00:00:00","2015-08-27 00:00:00",50,50,8,,89,50
WTW-S,Stock,"0000-00-00 00:00:00","2015-08-27 00:00:00",100,100,9,,198,30
FIX-3-SB,Stock,"0000-00-00 00:00:00","2015-08-27 00:00:00",100,100,10,,130,40
MPZ,"Bronze books for Chris Jeub orders","2015-08-27 00:00:00","2015-08-27 00:00:00",50,50,0,,115,10
MPG,"Chris Jueb needs 2 of these by 3:00 today.","2015-08-27 00:00:00","2015-08-27 00:00:00",50,50,0,,103,10
LTW-SW1,"Circe order","2015-08-27 00:00:00","2015-08-27 00:00:00",500,500,0,,154,35
"AHW-S (old)",-57,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,5,,300,18
FIX-2,-36,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,5,,258,22
FIX-1,NULL,"2015-08-31 00:00:00","2015-08-31 00:00:00",88,88,5,,230,25
FIX-4,-12,"2015-08-31 00:00:00","2015-08-31 00:00:00",50,50,5,,264,22
FIX-6,-12,"2015-08-31 00:00:00","2015-08-31 00:00:00",50,50,5,,268,22
FIX-3,"5 left","2015-08-31 00:00:00","2015-08-31 00:00:00",50,50,4,"Test the notes section.",262,22
"AHW-T (old)",-34,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,5,,273,20
AFF-S,-66,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,5,,169,30
FN-S,-30,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,5,,231,22
SIMP-A,80,"2015-09-01 00:00:00","2015-08-31 00:00:00",200,200,4,,113,45
SIMP-B,102,"2015-08-31 00:00:00","2015-08-31 00:00:00",300,300,5,,107,45
SIMP-C,56,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,5,,105,45
SRN-B,-35,"2015-08-31 00:00:00","2015-08-31 00:00:00",100,100,4,,126,35
SW2,-100,"2015-09-01 00:00:00","2015-08-31 00:00:00",200,200,0,,240,25
SICC-A-SB,NULL,"2015-09-01 00:00:00","2015-08-31 00:00:00",40,40,6,"Originally ordered 100. Apparently only printed 40.",162,30
EIL-1,WTS,"2015-09-01 00:00:00","2015-08-31 00:00:00",50,50,6,,156,25
EIL-2,WTS,"2015-09-01 00:00:00","2015-08-31 00:00:00",50,50,6,,158,35
GAM-B,-23,"2015-09-01 00:00:00","2015-08-31 00:00:00",50,50,7,,121,20
"TLC (old)",-2,"2015-09-01 00:00:00","2015-08-31 00:00:00",20,20,1,,192,30
ACS-B,-6,"2015-09-01 00:00:00","2015-08-31 00:00:00",30,30,9,,164,30
RRR-TB,-1,"2015-09-01 00:00:00","2015-08-31 00:00:00",30,30,10,,196,28
"EIS-TB (old)",1,"2015-09-01 00:00:00","2015-08-31 00:00:00",20,20,25,,76,20
WTW-T,11,"2015-09-01 00:00:00","2015-08-31 00:00:00",100,100,0,,139,30
SRN-B,-35,"2015-09-01 00:00:00","2015-08-31 00:00:00",100,100,5,,126,35
HBW-T,WTS,"2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,4,,257,20
FMF-TB,WTS,"2015-09-02 00:00:00","2015-09-02 00:00:00",20,20,3,,273,20
AUH-S,+21,"2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,15,,348,15
MHW-S,"WTS   -40","2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,3,,312,17
FIX-2-SB,WTS,"2015-09-02 00:00:00","2015-09-02 00:00:00",140,100,0,,130,35
FIX-1-SB,"WTS - Minus 93","2015-09-02 00:00:00","2015-09-02 00:00:00",150,150,0,,128,40
HBW-S,"WTS - ASAP","2015-09-02 00:00:00","2015-09-02 00:00:00",150,150,0,,248,18
SRN-B,"WTS   -0","2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,4,,126,35
FN-T,-8,"2015-09-02 00:00:00","2015-09-02 00:00:00",50,50,5,,120,50
SW2,-9,"2015-09-02 00:00:00","2015-09-02 00:00:00",200,200,6,,240,25
SIMP-A,+25,"2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,7,,113,45
FIX-2-SB,+11,"2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,10,,130,35
AFF-S,"20 left","2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,12,,169,30
"AHW-S (old)","+108 - CC (240)","2015-09-02 00:00:00","2015-09-02 00:00:00",216,200,13,,300,18
"AHW-T (old)","+136 - CC (288)","2015-09-02 00:00:00","2015-09-02 00:00:00",200,200,14,,273,20
APL,"WTS -21","2015-09-02 00:00:00","2015-09-02 00:00:00",30,30,2,,162,30
SWP-P2-BL,WTS,"2015-09-02 00:00:00","2015-09-02 00:00:00",30,30,5,,299,10
AFF-TB,"2 left","2015-09-02 00:00:00","2015-09-02 00:00:00",30,30,9,,82,30
FMF-S,"7 left","2015-09-02 00:00:00","2015-09-02 00:00:00",100,100,11,,280,20
"SW2 Tabs","WTS min 350","2015-09-03 00:00:00","2015-09-03 00:00:00",1040,1000,0,,12,104
"SRH-B Tabs","Need 1 case","2015-09-03 00:00:00","2015-09-03 00:00:00",120,120,1,,10,120
"SIM Tabs","Low stock","2015-09-03 00:00:00","2015-09-03 00:00:00",1000,1000,2,,5,250
"CS-ABC Tabs","Low stock","2015-09-03 00:00:00","2015-09-03 00:00:00",250,250,5,,5,250
SICC-A-SB,"Low stock","2015-09-03 00:00:00","2015-09-03 00:00:00",60,60,5,,162,30
MP-TMB,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",50,50,1,,15,50
MPR-Stoa,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",30,30,0,,117,30
MPS,WTS,"2015-09-04 00:00:00","2015-09-04 00:00:00",30,30,0,,153,30
