skuid,name,printstack,imps
"AAS Divider Cards","3rd Party Book",1,1
AAS-BK,"3rd Party Book",1,1
AAS-S1,"3rd Party Book",1,1
AAS-S2,"3rd Party Book",1,1
AAS-S3,"3rd Party Book",1,1
"AAS-Teacher 1","3rd Party Book",1,1
"AAS-Teacher 2","3rd Party Book",1,1
"AAS-Teacher 3","3rd Party Book",1,1
ABW-B,ABW-B,40,146
ACS-B,ACS-B,30,164
AFF-S,"All Things Fun ...",30,169
AFF-TB,"All Things Fun - Teacher",30,82
AHW-S,"Ancient History - Student",20,298
"AHW-S (old)","Ancient HIstory - Student",18,300
AHW-T,"Ancient History - Teacher",20,274
"AHW-T (old)","Teach your child how to write",20,273
APE,APE,30,198
APL,"Advanced Placement Lit",30,162
"ASV Sample","ASV Sample",50,36
AUH-S,"Advanced US History-Based Writing Lessons - Studen",15,348
AUH-T,"Advanced US History-Based Writing Lessons - Teache",18,317
austinregionalprogra,austinregionalprogram-7.pdf.,200,11
BBG,"3rd Party Book",1,1
BBW,BBW,40,132
BFG-B,BFG-B,70,84
BH-S,"Bible Heros - Student",18,224
BH-TB,BH-TB,50,124
BSS,BSS,15,317
CAH-S,CAH-S,18,302
CAH-T,CAH-T,21,274
CK-S,CK-S,40,114
CS-A,CS-A,15,345
CS-A-RC,CS-A-RC,10,345
"CS-ABC Tabs","CS-ABC Tabs",250,5
CS-B,CS-B,10,338
CS-B-RC,CS-B-RC,17,338
CS-C,CS-C,15,376
CS-C-RC,CS-C-RC,15,376
CS-P1,CS-P1,18,329
CS-P1-RC,CS-P1-RC,20,329
CS-P2,CS-P2,18,327
CS-P2-RC,CS-P2-RC,20,327
CS-PK,CS-PK,15,311
CS-PK-RC,CS-PK-RC,20,311
CS-PK12-Tabs,CS-PK12-Tabs,100,5
DDD-B,"Dress-Ups, Decorations, and Delightful Diversions",50,120
"Display Copy Label (","Display Copy Label (80ct)",10,1
DTE-H,DTE-H_v2,100,3
EBW,"Economics Based Writing",35,130
EIL-1,"Excellence in Lit - 1",25,156
EIL-2,"Excellence in Lit",35,158
EIL-3,EIL-3,35,168
EIL-4,EIL-4,35,166
EIL-5,EIL-5,35,165
EIS-LCO,"Lesson Cards",20,96
EIS-PSO,"Personal Spelling Cards only",10,18
"EIS-TB (old)",EIS-TB,20,76
"EIS-TB e2p1","EIS-TB e2p1",35,138
FBS-A-BL,FBS-A-BL,10,59
FBS-A-E,FBS-A-E,10,59
FBS-B-E,FBS-B-E,10,50
FBS-C-BL,FBS-C-BL,10,54
FBS-C-E,FBS-C-E,10,54
FIX-1,"The Nose Tree",25,230
FIX-1-SB,"Fix 1 SB",40,128
FIX-2,"Robin Hood",22,258
FIX-2-SB,"Fix 2 SB",35,130
FIX-3,"Frog Prince, or Just Deserts",22,262
FIX-3-SB,"Fix 3 SB",40,130
FIX-4,"Little Mermaid",22,264
FIX-4-SB,"Fix 4 SB",45,128
FIX-5,Chanticleer,22,266
FIX-5-SB,"Fix 5 SB",35,132
FIX-6,"Sir Gawain and the Green Knight",22,268
FIX-6-SB,"Fix 6 SB",35,132
FIX-RC,FIX-RC,20,283
FMF-S,"FMF - Student book",20,280
FMF-TB,"Fables, Myths, and Fairytales",20,273
FN-S,"Following Narnia - S",22,231
FN-T,"Following Narnia - T",50,120
FN1-S,FN1-S,22,254
FN1-T,FN1-T,20,254
FN2-S,FN2-S,23,262
FN2-T,FN2-T,23,262
GAM-B,"GAM-B s/s",20,121
GOP-S,"3rd Party Book",1,1
GOP-T,"3rd Party Book",1,1
GPP,"3rd Party Book",1,1
GWN,GWN,40,149
HAS,HAS,15,362
"HAS Tabs","HAS Tabs",500,12
HBT-S,HBT-S,10,259
HBW-S,"US History-Based Writing - Student",18,248
HBW-T,"US History-Based Writing - Teacher",20,257
HSC-SL,"Shopping List",10,50
"HSE-B (old)",HSE-B,20,64
HSE-S-P,HSE-S,200,28
HWS,"How To Write A Story",50,94
HWS,"How To Write A Story",50,94
IC-R-TWSS2-PC,"Instructor Checklist",100,1
IC-­C-­TWSS2-­TL,IC-­C-­TWSS2-­TL,100,1
IC-­R-­TWSS2-­TL,IC-­R-­TWSS2-­TL,100,1
IEW_EmpHB,"Employee Handbook",1,37
IIW-H_v3,"Instant Improvement Writing",150,2
JBA,JBA,50,149
LDP-SB,LDP-SB,34,176
LDP-T,LDP-T,25,206
LTL-S,"Lemonade To Leadership",50,87
LTL-T,"Lemonade to Leadership",30,97
LTW-SW1,"Lost Tools - Student 1",35,154
LTW-SW2,LTW-SW2,35,156
"LTW-SW2 (old)","Lost Tools Student 2",50,136
LTW-TG1,LTW-TG1,15,362
LTW-TG2,LTW-TG2,16,358
"LTW-TG2 (old)",LTW-TG2,25,219
MFI-A-TB,MIA-A-TB,20,254
MFI-B-TB,MFI-B-TB,20,304
MFI-C-TB,MFI-C-TB,15,406
MHW-NS-S,MHW-NS-S,18,312
MHW-NS-T,MHW-NS-T,20,285
